movie_id,genre_id
0,20
1,19
1,20
2,19
2,20
3,12
3,19
3,20
4,19
4,20
5,14
5,20
5,21
6,12
6,15
6,20
7,19
7,20
8,15
8,7
9,20
10,12
10,15
10,20
11,20
11,8
12,12
12,15
12,13
13,12
13,15
13,1
14,12
14,15
14,20
15,12
15,15
15,20
16,20
17,14
17,19
17,20
18,12
18,1
19,12
19,15
19,20
20,19
20,20
20,2
21,19
21,20
22,12
22,15
22,13
23,19
23,20
23,18
24,20
24,4
24,13
25,16
25,20
25,8
26,0
26,15
26,4
27,20
27,10
28,19
28,20
28,2
29,12
29,19
29,20
30,19
30,20
30,13
31,15
31,20
31,1
32,11
32,2
32,18
33,20
34,16
34,20
34,8
35,20
35,8
35,10
36,7
37,14
37,20
37,9
38,16
38,20
38,4
39,14
39,16
39,20
40,12
40,19
40,20
41,15
41,16
41,1
42,12
42,1
43,20
43,9
44,0
44,15
44,20
45,2
45,18
46,12
46,15
46,20
47,12
47,15
48,20
48,2
48,18
49,20
49,2
49,10
50,2
50,18
51,11
51,1
52,0
52,20
52,10
53,0
53,12
53,15
54,20
54,8
55,16
55,20
55,10
56,20
56,5
57,20
57,2
57,18
58,16
58,10
59,12
59,15
59,1
60,20
60,10
61,20
61,7
62,20
62,11
63,0
63,15
63,4
64,0
64,12
64,15
65,19
65,20
65,2
66,12
66,15
66,1
67,12
67,19
67,20
68,20
69,19
69,20
70,0
70,15
70,16
71,20
71,10
72,20
72,2
73,14
73,20
73,21
74,2
74,8
74,18
75,15
75,2
75,18
76,19
76,20
76,18
77,0
77,20
77,13
78,12
78,15
78,13
79,19
79,2
79,18
80,14
80,20
80,9
81,20
82,12
82,14
82,20
83,16
83,20
84,15
84,1
85,0
85,15
85,16
86,6
86,9
87,20
87,8
87,1
88,15
88,14
88,20
89,19
89,20
89,1
90,16
90,17
90,8
91,16
91,8
92,19
92,20
92,5
93,15
93,20
93,10
94,19
94,20
95,20
95,10
96,19
96,20
97,20
98,20
98,8
99,16
99,20
99,4
100,16
100,19
100,20
101,20
102,0
102,15
102,16
103,16
103,19
104,19
104,20
105,7
106,16
106,20
106,8
107,20
107,1
108,15
108,16
108,13
109,19
109,20
109,2
110,20
111,12
111,15
112,0
112,15
112,16
113,2
114,20
115,12
115,19
116,16
116,9
116,8
117,12
117,20
117,18
118,14
118,20
118,21
119,20
119,7
120,12
120,18
121,12
121,19
121,20
122,15
122,20
122,7
123,20
123,2
123,10
124,20
125,14
125,16
125,20
126,14
126,20
126,3
127,15
127,20
127,21
128,20
128,4
128,3
129,20
129,13
129,10
130,20
130,2
130,18
131,0
131,16
131,4
132,5
132,2
132,18
133,0
133,15
133,4
134,12
134,20
134,10
135,20
135,10
136,20
136,2
136,8
137,15
137,16
137,20
138,14
138,20
139,15
139,20
139,10
140,12
140,16
140,19
141,20
141,13
141,21
142,16
142,19
142,20
143,19
143,20
143,18
144,14
144,16
144,19
145,14
145,20
146,0
146,15
146,16
147,12
147,20
147,1
148,16
148,20
149,20
149,18
150,12
150,20
150,3
151,20
151,2
151,1
152,19
152,18
153,19
153,20
153,18
154,20
155,19
155,20
155,9
156,20
156,8
157,20
157,2
157,18
158,12
158,15
158,16
159,20
160,20
160,21
160,8
161,11
161,2
161,1
162,19
162,18
163,20
163,18
163,10
164,20
165,0
165,15
165,16
166,20
166,10
167,2
167,18
168,16
168,19
168,3
169,12
169,19
169,20
170,12
170,16
170,8
171,19
171,20
172,20
173,0
173,16
173,20
174,20
174,5
174,2
175,14
175,20
175,21
176,12
176,15
176,1
177,0
177,12
177,15
178,20
178,2
178,18
179,16
179,20
180,20
180,8
181,20
181,1
182,15
182,16
182,19
183,14
183,19
183,20
184,15
184,20
185,15
185,14
185,20
186,16
186,8
187,20
187,10
188,19
188,20
188,2
189,20
190,16
191,15
191,20
191,21
192,20
192,18
193,14
193,20
193,21
194,20
194,3
195,14
195,20
195,21
196,20
196,8
197,0
197,12
197,20
198,19
198,20
198,18
199,19
199,20
199,2
200,12
200,15
200,1
201,15
201,20
201,18
202,12
202,14
202,20
203,14
203,20
203,4
204,12
204,20
204,1
205,14
205,20
205,21
206,19
206,20
207,14
207,19
207,20
208,14
208,19
208,20
209,14
209,20
209,21
210,20
210,18
211,15
211,13
211,2
212,0
212,15
212,1
213,15
213,4
213,13
214,20
214,3
215,15
215,20
215,21
216,14
216,16
216,19
217,16
217,19
217,20
218,0
218,15
218,16
219,16
219,20
220,20
221,19
221,5
221,2
222,12
222,1
223,20
223,21
223,8
224,20
224,8
224,18
225,14
225,20
226,19
226,20
227,20
227,2
227,1
228,20
228,8
229,19
229,20
229,11
230,16
230,13
230,8
231,20
232,15
232,4
232,13
233,15
233,18
234,12
234,15
234,16
235,20
235,8
236,0
236,15
236,4
237,20
238,12
238,15
238,13
239,0
239,4
239,13
240,11
241,20
241,2
241,8
242,0
242,12
242,20
243,12
243,16
243,19
244,16
244,20
244,1
